iter	Logloss
0	0.6750200346
1	0.6569984294
2	0.6389487355
3	0.6220299412
4	0.5966009081
5	0.5823223059
6	0.5613267659
7	0.5485195514
8	0.5312004671
9	0.5199692937
10	0.5108563044
11	0.5033592743
12	0.4961673446
13	0.4866001027
14	0.4798057949
15	0.4728331387
16	0.4675623691
17	0.455951494
18	0.4521583541
19	0.4487187903
20	0.4456032539
21	0.437921432
22	0.4331243959
23	0.4268427835
24	0.4218358872
25	0.4188168241
26	0.4164109818
27	0.4115025471
28	0.4068877104
29	0.3989945937
30	0.3939562107
31	0.3898408052
32	0.3853787452
33	0.3839403542
34	0.379962649
35	0.3771508789
36	0.3732356939
37	0.3696814091
38	0.366343302
39	0.3648725938
40	0.3619846368
41	0.3589738795
42	0.3567630477
43	0.3551546895
44	0.3516705511
45	0.3488936906
46	0.3473545727
47	0.3462072376
48	0.3444242308
49	0.341513395
50	0.3384774183
51	0.3374222777
52	0.3367113503
53	0.3350095139
54	0.3334690118
55	0.3313418422
56	0.3298943903
57	0.3260041982
58	0.3240211974
59	0.3232286465
60	0.3222337609
61	0.3212650763
62	0.3204232945
63	0.3194225445
64	0.3180554073
65	0.3164172741
66	0.3149815259
67	0.3141939332
68	0.313601779
69	0.3127456004
70	0.3112013229
71	0.3104659311
72	0.3081413096
73	0.3074351391
74	0.304151045
75	0.3031923526
76	0.3024516753
77	0.3013404579
78	0.30081324
79	0.2996286546
80	0.2987126993
81	0.2981141269
82	0.2972510269
83	0.2965241926
84	0.2957319185
85	0.295273664
86	0.2941245671
87	0.2934926204
88	0.2928675197
89	0.2923990718
90	0.2912271213
91	0.2908212438
92	0.2894194739
93	0.2884227509
94	0.2879000131
95	0.2869945031
96	0.2866557265
97	0.2856205702
98	0.2852073433
99	0.2846050207
100	0.2840946158
101	0.2837928379
102	0.2830190128
103	0.2823449581
104	0.2818756041
105	0.2811924382
106	0.2787592622
107	0.2779719465
108	0.2773623752
109	0.276693153
110	0.2764225093
111	0.2758482502
112	0.2752222183
113	0.274391964
114	0.2736652807
115	0.2726912603
116	0.2721066819
117	0.2714054446
118	0.2708013098
119	0.2704714179
120	0.2699225294
121	0.2687858912
122	0.2683234335
123	0.2678983771
124	0.2673518041
125	0.2664639377
126	0.2657399223
127	0.2646940691
128	0.2643590176
129	0.2641253725
130	0.2636303963
131	0.2629423224
132	0.2626946581
133	0.2616844696
134	0.2614672096
135	0.2611317554
136	0.2604426244
137	0.2596990275
138	0.2592828558
139	0.2589392216
140	0.2584872846
141	0.2574375805
142	0.2570431298
143	0.2562836511
144	0.2559691376
145	0.255668895
146	0.2552526981
147	0.2549134433
148	0.2546548305
149	0.2542028431
150	0.2539541217
151	0.2536408415
152	0.2534784754
153	0.2531341112
154	0.2527484445
155	0.2523545476
156	0.2516170919
157	0.2513945967
158	0.2510147692
159	0.249635123
160	0.2488708119
161	0.2486712709
162	0.2482659975
163	0.2480466736
164	0.2476221207
165	0.2471763501
166	0.2466983127
167	0.2460929949
168	0.2458842924
169	0.2452882873
170	0.2451775934
171	0.2438075115
172	0.2431086904
173	0.2426399404
174	0.2422674372
175	0.2419880094
176	0.2414671341
177	0.2411634433
178	0.2407981133
179	0.2402562721
180	0.2394054043
181	0.239130205
182	0.2387061302
183	0.238189131
184	0.2379729281
185	0.2376571561
186	0.2373354694
187	0.237112798
188	0.2368667949
189	0.2364157639
190	0.2358868597
191	0.2356729724
192	0.2354892125
193	0.2351056097
194	0.2348929808
195	0.234653119
196	0.2343904035
197	0.2339663791
198	0.2335881876
199	0.2334298234
200	0.2329149384
201	0.2327929184
202	0.2325726381
203	0.2323449329
204	0.2320589361
205	0.2317638531
206	0.2315517024
207	0.2313167989
208	0.231129616
209	0.2307874416
210	0.2305181822
211	0.2301848925
212	0.2300091867
213	0.2296962085
214	0.2294316809
215	0.2289544237
216	0.2287571984
217	0.2281672086
218	0.2278080199
219	0.2275175932
220	0.2271660307
221	0.2267605308
222	0.2265252748
223	0.226245243
224	0.2251995913
225	0.2248689695
226	0.2246545033
227	0.2244064363
228	0.2242010309
229	0.224042113
230	0.2237620308
231	0.2234771666
232	0.2232723905
233	0.2229415673
234	0.2227555422
235	0.2223893565
236	0.2221810064
237	0.2217799613
238	0.2216363966
239	0.221510123
240	0.2213529166
241	0.2211621094
242	0.2209043774
243	0.2207648397
244	0.2205698796
245	0.2203511598
246	0.2202044992
247	0.2198670063
248	0.2194455239
249	0.219062651
250	0.2189029025
251	0.2187845824
252	0.2183550711
253	0.2179673909
254	0.217822316
255	0.217360563
256	0.2169140122
257	0.2165525834
258	0.2161966163
259	0.2160858721
260	0.2159118778
261	0.215724695
262	0.2154858147
263	0.2153357311
264	0.2150141954
265	0.2147744845
266	0.2146511054
267	0.2144548868
268	0.2143169096
269	0.2141366986
270	0.2139997785
271	0.2136944265
272	0.2134368959
273	0.2132858308
274	0.2128856415
275	0.2126189997
276	0.2124528834
277	0.2123024726
278	0.2121192413
279	0.211864429
280	0.2116601059
281	0.211472772
282	0.211352237
283	0.2112459981
284	0.2111116453
285	0.2106704051
286	0.2105539224
287	0.2104228289
288	0.2102532015
289	0.2100450779
290	0.2098325497
291	0.209624854
292	0.2094422897
293	0.2093505985
294	0.2092879148
295	0.2088288549
296	0.2087085213
297	0.2084952758
298	0.2082540422
299	0.2077647793
300	0.2075132138
301	0.2074132923
302	0.2073052664
303	0.2070448162
304	0.2060905787
305	0.205744352
306	0.2055285015
307	0.2053592643
308	0.2051819477
309	0.2051015449
310	0.2048692086
311	0.2047246245
312	0.2045558151
313	0.2042982719
314	0.2041606093
315	0.2040867379
316	0.2039474519
317	0.2036472596
318	0.2029279634
319	0.2026053077
320	0.2024352524
321	0.2022946198
322	0.2021265907
323	0.2019177749
324	0.201773518
325	0.2016157327
326	0.2013389855
327	0.2010671714
328	0.200873369
329	0.2007754611
330	0.2005343156
331	0.2003435335
332	0.2001383044
333	0.1999336919
334	0.199753267
335	0.1994839194
336	0.1993533042
337	0.1991970794
338	0.1989739298
