iter	Passed	Remaining
0	9	9277
1	18	9274
2	32	10777
3	58	14667
4	84	16744
5	89	14750
6	105	15000
7	114	14185
8	133	14648
9	137	13641
10	150	13511
11	157	12934
12	170	12918
13	185	13085
14	201	13242
15	207	12741
16	213	12373
17	231	12647
18	236	12214
19	253	12443
20	259	12092
21	280	12476
22	285	12141
23	303	12333
24	308	12034
25	328	12320
26	333	12034
27	346	12019
28	351	11779
29	356	11538
30	362	11340
31	367	11107
32	371	10893
33	378	10749
34	383	10586
35	388	10395
36	394	10274
37	399	10105
38	403	9940
39	408	9814
40	413	9672
41	417	9528
42	422	9396
43	427	9284
44	431	9164
45	436	9050
46	446	9051
47	450	8939
48	457	8879
49	462	8782
50	466	8684
51	473	8627
52	477	8536
53	482	8445
54	488	8392
55	493	8315
56	497	8227
57	503	8174
58	507	8097
59	511	8017
60	515	7941
61	521	7894
62	526	7823
63	530	7754
64	535	7705
65	540	7643
66	544	7579
67	548	7514
68	554	7487
69	559	7431
70	563	7373
71	569	7340
72	574	7289
73	577	7232
74	583	7200
75	588	7151
76	592	7100
77	596	7048
78	602	7021
79	606	6976
80	610	6930
81	616	6905
82	621	6862
83	625	6818
84	629	6775
85	635	6755
86	639	6715
87	643	6673
88	650	6654
89	654	6616
90	658	6577
91	663	6553
92	668	6521
93	672	6485
94	677	6449
95	682	6429
96	686	6394
97	691	6361
98	698	6361
99	704	6338
100	709	6311
101	715	6299
102	719	6266
103	723	6233
104	729	6213
105	733	6186
106	737	6156
107	742	6129
108	747	6112
109	751	6082
110	755	6053
111	762	6045
112	767	6021
113	771	5995
114	777	5984
115	781	5956
116	785	5930
117	790	5907
118	796	5893
119	800	5868
120	804	5841
121	809	5822
122	813	5797
123	816	5769
124	820	5746
125	825	5723
126	829	5702
127	833	5675
128	836	5645
129	839	5617
130	844	5598
131	847	5571
132	850	5543
133	853	5516
134	858	5501
135	861	5475
136	865	5449
137	868	5424
138	872	5403
139	875	5380
140	879	5356
141	882	5332
142	885	5308
143	890	5296
144	894	5273
145	897	5249
146	900	5226
147	904	5209
148	908	5191
149	912	5169
150	915	5148
151	918	5126
152	923	5113
153	926	5092
154	930	5070
155	934	5053
156	939	5044
157	943	5027
158	946	5007
159	950	4988
160	955	4978
161	958	4958
162	961	4939
163	965	4920
164	969	4906
165	973	4889
166	976	4870
167	979	4852
168	982	4833
169	988	4826
170	991	4807
171	995	4792
172	999	4777
173	1005	4772
174	1009	4757
175	1012	4742
176	1018	4734
177	1022	4719
178	1025	4704
179	1029	4689
180	1034	4682
181	1038	4668
182	1042	4655
183	1046	4640
184	1052	4635
185	1056	4621
186	1059	4607
187	1063	4595
188	1069	4590
189	1073	4577
190	1078	4566
191	1083	4559
192	1086	4544
193	1090	4529
194	1093	4513
195	1096	4498
196	1101	4488
197	1104	4473
198	1107	4459
199	1111	4446
200	1116	4438
201	1119	4423
202	1123	4409
203	1126	4395
204	1130	4382
205	1133	4369
206	1136	4354
207	1140	4341
208	1143	4327
209	1148	4319
210	1151	4305
211	1154	4291
212	1157	4278
213	1161	4265
214	1165	4254
215	1168	4241
216	1171	4227
217	1174	4214
218	1179	4207
219	1183	4195
220	1186	4183
221	1190	4170
222	1195	4164
223	1198	4152
224	1202	4140
225	1205	4129
226	1209	4117
227	1214	4112
228	1218	4101
229	1221	4089
230	1224	4077
231	1230	4072
232	1234	4063
233	1237	4051
234	1242	4043
235	1246	4035
236	1250	4026
237	1254	4016
238	1257	4004
239	1261	3993
240	1265	3984
241	1269	3976
242	1272	3964
243	1275	3953
244	1279	3941
245	1284	3935
246	1287	3925
247	1291	3916
248	1295	3907
249	1301	3903
250	1305	3894
251	1308	3884
252	1312	3876
253	1318	3871
254	1322	3862
255	1326	3853
256	1331	3848
257	1334	3838
258	1337	3827
259	1341	3817
260	1344	3806
261	1348	3799
262	1352	3789
263	1355	3778
264	1359	3769
265	1364	3764
266	1367	3754
267	1370	3744
268	1374	3734
269	1378	3726
270	1381	3717
271	1385	3707
272	1388	3697
273	1391	3688
274	1396	3682
275	1400	3672
276	1403	3662
277	1406	3653
278	1411	3648
279	1415	3638
280	1418	3628
281	1421	3620
282	1425	3610
283	1429	3605
284	1433	3595
285	1436	3586
286	1439	3576
287	1444	3571
288	1447	3562
289	1451	3552
290	1454	3543
291	1458	3537
292	1462	3529
293	1466	3520
294	1469	3510
295	1472	3501
296	1477	3496
297	1480	3488
298	1484	3479
299	1487	3470
300	1491	3464
301	1495	3456
302	1498	3447
303	1502	3438
304	1505	3431
305	1510	3425
306	1513	3416
307	1516	3407
308	1521	3401
309	1527	3398
310	1530	3391
311	1534	3384
312	1539	3378
313	1542	3370
314	1546	3362
315	1549	3354
316	1553	3346
317	1558	3342
318	1561	3333
319	1565	3326
320	1568	3317
321	1573	3312
322	1576	3304
323	1580	3296
324	1583	3288
325	1587	3281
326	1591	3274
327	1594	3266
328	1597	3258
329	1600	3250
330	1605	3245
331	1609	3237
332	1612	3229
333	1615	3221
334	1619	3214
335	1623	3207
336	1626	3199
337	1629	3191
338	1633	3184
339	1638	3179
340	1641	3171
341	1644	3164
342	1647	3156
343	1651	3149
344	1655	3142
345	1658	3135
346	1661	3127
347	1665	3120
348	1670	3116
349	1674	3109
350	1677	3101
351	1680	3093
352	1685	3088
353	1688	3081
354	1691	3073
355	1694	3065
356	1697	3058
357	1703	3054
358	1706	3046
359	1709	3039
360	1712	3031
361	1717	3026
362	1720	3019
363	1723	3011
364	1726	3004
365	1730	2997
366	1735	2993
367	1738	2985
368	1741	2978
369	1745	2971
370	1750	2967
371	1753	2959
372	1756	2952
373	1760	2946
374	1763	2938
375	1768	2935
376	1772	2928
377	1775	2921
378	1778	2914
379	1783	2909
380	1786	2902
381	1790	2895
382	1793	2889
383	1797	2883
384	1801	2877
385	1804	2870
386	1807	2863
387	1811	2856
388	1816	2852
389	1819	2846
390	1823	2839
391	1826	2832
392	1830	2827
393	1834	2821
394	1837	2814
395	1840	2807
396	1844	2801
397	1848	2796
398	1851	2789
399	1855	2782
400	1858	2776
401	1863	2771
402	1866	2764
403	1869	2758
404	1873	2752
405	1876	2745
406	1881	2741
407	1884	2734
408	1887	2727
409	1890	2720
410	1895	2716
411	1898	2709
412	1901	2703
413	1905	2696
414	1908	2690
415	1913	2686
416	1916	2679
417	1919	2673
418	1923	2666
419	1927	2662
420	1931	2655
421	1934	2649
422	1937	2642
423	1940	2636
